"Appendix B. Developmental Education Coursetaking** by District, School and Year of High School Graduation",,,,,,,,The data used for Getting Prepared analyzed college enrollment data for high school students based on the student’s “Status End” code at a given point in time and is not comparable to graduation rate cohort data commonly used by the Minnesota Department of Education (MDE).,,,
,,,,,Enrolled within 2 Years of Graduation,,,Enrolled in Developmental Education within 2 Years,,,
Benson Public School District,BENSON SECONDARY,0777-01-101,2012,68,53,38,,fewer than 10,,,
Bertha-Hewitt Public School District,BERTHA SECONDARY,0786-01-020,2006,38,26,23,,fewer than 10,,,
Bertha-Hewitt Public School District,BERTHA SECONDARY,0786-01-020,2007,40,31,28,,fewer than 10,,,
Bertha-Hewitt Public School District,BERTHA SECONDARY,0786-01-020,2008,36,25,23,,fewer than 10,,,
Bertha-Hewitt Public School District,BERTHA SECONDARY,0786-01-020,2009,41,28,27,,fewer than 10,,,
Bertha-Hewitt Public School District,BERTHA SECONDARY,0786-01-020,2010,36,30,25,,fewer than 10,,,
Bertha-Hewitt Public School District,BERTHA SECONDARY,0786-01-020,2011,30,27,25,,fewer than 10,,,
Bertha-Hewitt Public School District,BERTHA SECONDARY,0786-01-020,2012,34,23,19,,fewer than 10,,,
Big Lake Public School District,BIG LAKE SENIOR HIGH,0727-01-020,2006,134,97,74,,22,16%,30%,
Big Lake Public School District,BIG LAKE SENIOR HIGH,0727-01-020,2007,187,140,114,,41,22%,36%,
Big Lake Public School District,BIG LAKE SENIOR HIGH,0727-01-020,2008,184,137,112,,38,21%,34%,
Big Lake Public School District,BIG LAKE SENIOR HIGH,0727-01-020,2009,223,163,132,,43,19%,33%,
Big Lake Public School District,BIG LAKE SENIOR HIGH,0727-01-020,2010,181,134,105,,32,18%,30%,
Big Lake Public School District,BIG LAKE SENIOR HIGH,0727-01-020,2011,196,150,127,,36,18%,28%,
Big Lake Public School District,BIG LAKE SENIOR HIGH,0727-01-020,2012,210,141,105,,19,9%,18%,
Bird Island-Olivia-Lake Lillian Public School District,BOLD SENIOR HIGH,2534-01-020,2006,79,67,54,,18,23%,33%,
Bird Island-Olivia-Lake Lillian Public School District,BOLD SENIOR HIGH,2534-01-020,2007,62,55,42,,12,19%,29%,
Bird Island-Olivia-Lake Lillian Public School District,BOLD SENIOR HIGH,2534-01-020,2008,88,73,59,,17,19%,29%,
Bird Island-Olivia-Lake Lillian Public School District,BOLD SENIOR HIGH,2534-01-020,2009,75,60,36,,fewer than 10,,,
Bird Island-Olivia-Lake Lillian Public School District,BOLD SENIOR HIGH,2534-01-020,2010,67,54,43,,18,27%,42%,
Bird Island-Olivia-Lake Lillian Public School District,BOLD SENIOR HIGH,2534-01-020,2011,63,57,47,,16,25%,34%,
Bird Island-Olivia-Lake Lillian Public School District,BOLD SENIOR HIGH,2534-01-020,2012,59,46,24,,fewer than 10,,,
Blackduck Public School District,BLACKDUCK SECONDARY,0032-01-020,2006,51,41,36,,13,25%,36%,
Blackduck Public School District,BLACKDUCK SECONDARY,0032-01-020,2007,58,45,40,,17,29%,43%,
Blackduck Public School District,BLACKDUCK SECONDARY,0032-01-020,2008,52,41,35,,14,27%,40%,
Blackduck Public School District,BLACKDUCK SECONDARY,0032-01-020,2009,50,35,28,,fewer than 10,,,
Blackduck Public School District,BLACKDUCK SECONDARY,0032-01-020,2010,40,33,30,,10,25%,33%,
Blackduck Public School District,BLACKDUCK SECONDARY,0032-01-020,2011,49,37,26,,fewer than 10,,,
Blackduck Public School District,BLACKDUCK SECONDARY,0032-01-020,2012,28,17,11,,fewer than 10,,,
Blooming Prairie Public School Dist,BLOOMING PRAIRIE SECONDARY,0756-01-020,2006,52,42,31,,fewer than 10,,,
Blooming Prairie Public School Dist,BLOOMING PRAIRIE SECONDARY,0756-01-020,2007,58,48,38,,fewer than 10,,,
Blooming Prairie Public School Dist,BLOOMING PRAIRIE SECONDARY,0756-01-020,2008,56,48,36,,10,18%,28%,
Blooming Prairie Public School Dist,BLOOMING PRAIRIE SECONDARY,0756-01-020,2009,42,35,31,,fewer than 10,,,
Blooming Prairie Public School Dist,BLOOMING PRAIRIE SECONDARY,0756-01-020,2010,52,39,29,,10,19%,34%,
Blooming Prairie Public School Dist,BLOOMING PRAIRIE SECONDARY,0756-01-020,2011,48,39,27,,12,25%,44%,
Blooming Prairie Public School Dist,BLOOMING PRAIRIE SECONDARY,0756-01-020,2012,59,44,28,,11,19%,39%,
Bloomington Public School District,271 METRO SOUTH ABE,0271-01-620,2012,44,fewer than 10,fewer than 10,,fewer than 10,,,
Bloomington Public School District,BEACON - (287),0271-01-629,2012,17,fewer than 10,fewer than 10,,fewer than 10,,,
Bloomington Public School District,BEACON ALP IS,0271-01-740,2012,23,fewer than 10,fewer than 10,,fewer than 10,,,
Bloomington Public School District,JEFFERSON SENIOR HIGH,0271-01-009,2006,358,329,222,,38,11%,17%,
Bloomington Public School District,JEFFERSON SENIOR HIGH,0271-01-009,2007,363,337,208,,50,14%,24%,
Bloomington Public School District,JEFFERSON SENIOR HIGH,0271-01-009,2008,377,346,210,,59,16%,28%,
Bloomington Public School District,JEFFERSON SENIOR HIGH,0271-01-009,2009,361,330,215,,49,14%,23%,
Bloomington Public School District,JEFFERSON SENIOR HIGH,0271-01-009,2010,406,365,262,,53,13%,20%,
Bloomington Public School District,JEFFERSON SENIOR HIGH,0271-01-009,2011,374,323,202,,52,14%,26%,
Bloomington Public School District,JEFFERSON SENIOR HIGH,0271-01-009,2012,339,306,182,,28,8%,15%,
Bloomington Public School District,KENNEDY SENIOR HIGH,0271-01-007,2006,323,283,220,,65,20%,30%,
Bloomington Public School District,KENNEDY SENIOR HIGH,0271-01-007,2007,300,259,203,,75,25%,37%,
Bloomington Public School District,KENNEDY SENIOR HIGH,0271-01-007,2008,308,266,207,,67,22%,32%,
Bloomington Public School District,KENNEDY SENIOR HIGH,0271-01-007,2009,263,229,172,,62,24%,36%,
Bloomington Public School District,KENNEDY SENIOR HIGH,0271-01-007,2010,364,287,219,,99,27%,45%,
Bloomington Public School District,KENNEDY SENIOR HIGH,0271-01-007,2011,325,257,178,,72,22%,40%,
Bloomington Public School District,KENNEDY SENIOR HIGH,0271-01-007,2012,297,240,175,,64,22%,37%,
Blue Earth Area Public School,BLUE EARTH AREA SENIOR HIGH,2860-01-020,2006,97,79,67,,20,21%,30%,
Blue Earth Area Public School,BLUE EARTH AREA SENIOR HIGH,2860-01-020,2007,97,73,59,,16,16%,27%,
Blue Earth Area Public School,BLUE EARTH AREA SENIOR HIGH,2860-01-020,2008,116,91,73,,15,13%,21%,
Blue Earth Area Public School,BLUE EARTH AREA SENIOR HIGH,2860-01-020,2009,83,62,40,,12,14%,30%,
Blue Earth Area Public School,BLUE EARTH AREA SENIOR HIGH,2860-01-020,2010,90,76,56,,17,19%,30%,
Blue Earth Area Public School,BLUE EARTH AREA SENIOR HIGH,2860-01-020,2011,90,73,50,,fewer than 10,,,
Blue Earth Area Public School,BLUE EARTH AREA SENIOR HIGH,2860-01-020,2012,84,63,35,,fewer than 10,,,
BlueSky Charter School,BLUESKY CHARTER SCHOOL,4082-07-010,2006,37,13,fewer than 10,,fewer than 10,,,
BlueSky Charter School,BLUESKY CHARTER SCHOOL,4082-07-010,2007,73,29,21,,12,16%,57%,
BlueSky Charter School,BLUESKY CHARTER SCHOOL,4082-07-010,2008,168,82,56,,22,13%,39%,
BlueSky Charter School,BLUESKY CHARTER SCHOOL,4082-07-010,2009,194,93,64,,31,16%,48%,
BlueSky Charter School,BLUESKY CHARTER SCHOOL,4082-07-010,2010,201,95,66,,27,13%,41%,
BlueSky Charter School,BLUESKY CHARTER SCHOOL,4082-07-010,2011,117,49,35,,16,14%,46%,
BlueSky Charter School,BLUESKY CHARTER SCHOOL,4082-07-010,2012,89,32,22,,fewer than 10,,,
Braham Public School District,BRAHAM AREA SECONDARY,0314-01-001,2006,62,41,34,,16,26%,47%,
Braham Public School District,BRAHAM AREA SECONDARY,0314-01-001,2007,69,45,40,,13,19%,33%,
Braham Public School District,BRAHAM AREA SECONDARY,0314-01-001,2008,59,42,38,,14,24%,37%,
Braham Public School District,BRAHAM AREA SECONDARY,0314-01-001,2009,55,42,34,,16,29%,47%,
Braham Public School District,BRAHAM AREA SECONDARY,0314-01-001,2010,52,37,31,,fewer than 10,,,
Braham Public School District,BRAHAM AREA SECONDARY,0314-01-001,2011,58,49,39,,11,19%,28%,
Braham Public School District,BRAHAM AREA SECONDARY,0314-01-001,2012,60,34,28,,fewer than 10,,,
Brainerd Public School District,BRAINERD SENIOR HIGH,0181-01-014,2006,432,315,245,,61,14%,25%,
Brainerd Public School District,BRAINERD SENIOR HIGH,0181-01-014,2007,445,332,269,,59,13%,22%,
Brainerd Public School District,BRAINERD SENIOR HIGH,0181-01-014,2008,469,355,292,,51,11%,17%,
Brainerd Public School District,BRAINERD SENIOR HIGH,0181-01-014,2009,429,352,284,,32,7%,11%,
Brainerd Public School District,BRAINERD SENIOR HIGH,0181-01-014,2010,408,327,253,,49,12%,19%,
Brainerd Public School District,BRAINERD SENIOR HIGH,0181-01-014,2011,414,319,250,,48,12%,19%,
Brainerd Public School District,BRAINERD SENIOR HIGH,0181-01-014,2012,379,286,215,,18,5%,8%,
Brainerd Public School District,ISD 181 LEARNING CENTER,0181-01-018,2006,80,23,20,,fewer than 10,,,
Brainerd Public School District,ISD 181 LEARNING CENTER,0181-01-018,2007,78,35,26,,fewer than 10,,,
Brainerd Public School District,ISD 181 LEARNING CENTER,0181-01-018,2008,84,37,27,,fewer than 10,,,
Brainerd Public School District,ISD 181 LEARNING CENTER,0181-01-018,2009,83,43,30,,fewer than 10,,,
Brainerd Public School District,ISD 181 LEARNING CENTER,0181-01-018,2010,93,38,28,,fewer than 10,,,
Brainerd Public School District,ISD 181 LEARNING CENTER,0181-01-018,2011,84,30,23,,fewer than 10,,,
Brainerd Public School District,ISD 181 LEARNING CENTER,0181-01-018,2012,94,30,22,,fewer than 10,,,
Brandon-Evansville Public Schools,BRANDON SECONDARY,0207-01-002,2006,25,19,16,,fewer than 10,,,
Brandon-Evansville Public Schools,BRANDON SECONDARY,0207-01-002,2007,31,27,18,,fewer than 10,,,
Brandon-Evansville Public Schools,BRANDON SECONDARY,0207-01-002,2008,25,19,17,,fewer than 10,,,
Brandon-Evansville Public Schools,BRANDON SECONDARY,0207-01-002,2009,21,16,13,,fewer than 10,,,
Brandon-Evansville Public Schools,BRANDON SECONDARY,0207-01-002,2010,31,25,19,,fewer than 10,,,
Brandon-Evansville Public Schools,BRANDON SECONDARY,0207-01-002,2011,16,15,fewer than 10,,fewer than 10,,,
Brandon-Evansville Public Schools,BRANDON SECONDARY,0207-01-002,2012,17,14,12,,fewer than 10,,,
Brandon-Evansville Public Schools,EVANSVILLE SECONDARY,0208-01-002,2006,18,13,12,,fewer than 10,,,
Brandon-Evansville Public Schools,EVANSVILLE SECONDARY,0208-01-002,2007,16,14,13,,fewer than 10,,,
Brandon-Evansville Public Schools,EVANSVILLE SECONDARY,0208-01-002,2008,15,fewer than 10,fewer than 10,,fewer than 10,,,
Brandon-Evansville Public Schools,EVANSVILLE SECONDARY,0208-01-002,2009,14,fewer than 10,fewer than 10,,fewer than 10,,,
Brandon-Evansville Public Schools,EVANSVILLE SECONDARY,0208-01-002,2010,12,fewer than 10,fewer than 10,,fewer than 10,,,
Brandon-Evansville Public Schools,EVANSVILLE SECONDARY,0208-01-002,2011,14,11,fewer than 10,,fewer than 10,,,
Brandon-Evansville Public Schools,EVANSVILLE SECONDARY,0208-01-002,2012,15,10,fewer than 10,,fewer than 10,,,
Breckenridge Public School District,BRECKENRIDGE SENIOR HIGH,0846-01-030,2006,73,57,22,,fewer than 10,,,
Breckenridge Public School District,BRECKENRIDGE SENIOR HIGH,0846-01-030,2007,93,85,34,,fewer than 10,,,
Breckenridge Public School District,BRECKENRIDGE SENIOR HIGH,0846-01-030,2008,74,65,26,,fewer than 10,,,
Breckenridge Public School District,BRECKENRIDGE SENIOR HIGH,0846-01-030,2009,58,47,20,,fewer than 10,,,
Breckenridge Public School District,BRECKENRIDGE SENIOR HIGH,0846-01-030,2010,62,54,17,,fewer than 10,,,
Breckenridge Public School District,BRECKENRIDGE SENIOR HIGH,0846-01-030,2011,71,53,18,,fewer than 10,,,
Breckenridge Public School District,BRECKENRIDGE SENIOR HIGH,0846-01-030,2012,86,67,24,,fewer than 10,,,
Brooklyn Center School District,BROOKLYN CENTER SECONDARY,0286-01-012,2006,88,66,47,,19,22%,40%,
Brooklyn Center School District,BROOKLYN CENTER SECONDARY,0286-01-012,2007,75,54,42,,20,27%,48%,
Brooklyn Center School District,BROOKLYN CENTER SECONDARY,0286-01-012,2008,69,53,40,,20,29%,50%,
Brooklyn Center School District,BROOKLYN CENTER SECONDARY,0286-01-012,2009,89,67,53,,21,24%,40%,
Brooklyn Center School District,BROOKLYN CENTER SECONDARY,0286-01-012,2010,82,64,51,,30,37%,59%,
Brooklyn Center School District,BROOKLYN CENTER SECONDARY,0286-01-012,2011,72,59,51,,20,28%,39%,
Brooklyn Center School District,BROOKLYN CENTER SECONDARY,0286-01-012,2012,84,59,49,,23,27%,47%,
Brooklyn Center School District,INSIGHT SCHOOL OF MINNESOTA,0286-01-221,2009,23,11,11,,fewer than 10,,,
Brooklyn Center School District,INSIGHT SCHOOL OF MINNESOTA,0286-01-221,2010,31,15,10,,fewer than 10,,,
Brooklyn Center School District,INSIGHT SCHOOL OF MINNESOTA,0286-01-221,2011,46,20,13,,fewer than 10,,,
Brooklyn Center School District,INSIGHT SCHOOL OF MINNESOTA,0286-01-221,2012,65,26,21,,fewer than 10,,,
Browerville Public School District,BROWERVILLE SECONDARY,0787-01-020,2006,50,33,31,,10,20%,32%,
Browerville Public School District,BROWERVILLE SECONDARY,0787-01-020,2007,53,34,32,,11,21%,34%,
Browerville Public School District,BROWERVILLE SECONDARY,0787-01-020,2008,40,26,24,,fewer than 10,,,
Browerville Public School District,BROWERVILLE SECONDARY,0787-01-020,2009,52,35,32,,fewer than 10,,,
Browerville Public School District,BROWERVILLE SECONDARY,0787-01-020,2010,57,39,29,,fewer than 10,,,
Browerville Public School District,BROWERVILLE SECONDARY,0787-01-020,2011,49,32,30,,fewer than 10,,,
Browerville Public School District,BROWERVILLE SECONDARY,0787-01-020,2012,48,34,27,,fewer than 10,,,
Buffalo Lk-Hector-Stewart Public Sc,BUFFALO LAKE-HECTOR SECONDARY,2159-01-020,2006,55,40,35,,fewer than 10,,,
Buffalo Lk-Hector-Stewart Public Sc,BUFFALO LAKE-HECTOR SECONDARY,2159-01-020,2007,35,28,24,,fewer than 10,,,
Buffalo Lk-Hector-Stewart Public Sc,BUFFALO LAKE-HECTOR SECONDARY,2159-01-020,2008,46,34,30,,fewer than 10,,,
Buffalo Lk-Hector-Stewart Public Sc,BUFFALO LAKE-HECTOR SECONDARY,2159-01-020,2009,48,37,24,,fewer than 10,,,
Buffalo Lk-Hector-Stewart Public Sc,BUFFALO LAKE-HECTOR SECONDARY,2159-01-020,2010,41,37,30,,10,24%,33%,
Buffalo Lk-Hector-Stewart Public Sc,BUFFALO LAKE-HECTOR SECONDARY,2159-01-020,2011,31,24,20,,fewer than 10,,,
Buffalo Lk-Hector-Stewart Public Sc,BUFFALO LAKE-HECTOR SECONDARY,2159-01-020,2012,47,37,26,,fewer than 10,,,
Buffalo-Hanover-Montrose Public Sch,BUFFALO SENIOR HIGH,0877-01-040,2006,392,273,214,,61,16%,29%,
Buffalo-Hanover-Montrose Public Sch,BUFFALO SENIOR HIGH,0877-01-040,2007,392,300,227,,64,16%,28%,
Buffalo-Hanover-Montrose Public Sch,BUFFALO SENIOR HIGH,0877-01-040,2008,402,315,234,,61,15%,26%,
Buffalo-Hanover-Montrose Public Sch,BUFFALO SENIOR HIGH,0877-01-040,2009,388,317,232,,66,17%,28%,
Buffalo-Hanover-Montrose Public Sch,BUFFALO SENIOR HIGH,0877-01-040,2010,371,304,219,,73,20%,33%,
Buffalo-Hanover-Montrose Public Sch,BUFFALO SENIOR HIGH,0877-01-040,2011,413,321,243,,62,15%,26%,
Buffalo-Hanover-Montrose Public Sch,BUFFALO SENIOR HIGH,0877-01-040,2012,412,317,249,,50,12%,20%,
Bug-O-Nay-Ge-Shig,BUG-O-NAY-GE-SHIG,1115-34-010,2006,14,fewer than 10,fewer than 10,,fewer than 10,,,
Bug-O-Nay-Ge-Shig,BUG-O-NAY-GE-SHIG,1115-34-010,2007,11,fewer than 10,fewer than 10,,fewer than 10,,,
Bug-O-Nay-Ge-Shig,BUG-O-NAY-GE-SHIG,1115-34-010,2008,12,fewer than 10,fewer than 10,,fewer than 10,,,
Bug-O-Nay-Ge-Shig,BUG-O-NAY-GE-SHIG,1115-34-010,2009,13,fewer than 10,fewer than 10,,fewer than 10,,,
Bug-O-Nay-Ge-Shig,BUG-O-NAY-GE-SHIG,1115-34-010,2010,18,fewer than 10,fewer than 10,,fewer than 10,,,
Bug-O-Nay-Ge-Shig,BUG-O-NAY-GE-SHIG,1115-34-010,2011,14,fewer than 10,fewer than 10,,fewer than 10,,,
Bug-O-Nay-Ge-Shig,BUG-O-NAY-GE-SHIG,1115-34-010,2012,20,fewer than 10,fewer than 10,,fewer than 10,,,
Burnsville Public School District,BURNSVILLE ALTERNATIVE HIGH SCHOOL,0191-01-514,2006,53,18,14,,fewer than 10,,,
Burnsville Public School District,BURNSVILLE ALTERNATIVE HIGH SCHOOL,0191-01-514,2007,48,20,14,,fewer than 10,,,
Burnsville Public School District,BURNSVILLE ALTERNATIVE HIGH SCHOOL,0191-01-514,2008,63,26,19,,10,16%,53%,
Burnsville Public School District,BURNSVILLE ALTERNATIVE HIGH SCHOOL,0191-01-514,2009,71,41,32,,14,20%,44%,
Burnsville Public School District,BURNSVILLE ALTERNATIVE HIGH SCHOOL,0191-01-514,2010,54,20,12,,fewer than 10,,,
Burnsville Public School District,BURNSVILLE ALTERNATIVE HIGH SCHOOL,0191-01-514,2011,52,21,19,,13,25%,68%,
Burnsville Public School District,BURNSVILLE ALTERNATIVE HIGH SCHOOL,0191-01-514,2012,65,27,24,,fewer than 10,,,
Burnsville Public School District,BURNSVILLE SENIOR HIGH,0191-01-014,2006,573,494,343,,82,14%,24%,
Burnsville Public School District,BURNSVILLE SENIOR HIGH,0191-01-014,2007,595,516,354,,114,19%,32%,
Burnsville Public School District,BURNSVILLE SENIOR HIGH,0191-01-014,2008,615,543,399,,105,17%,26%,
Burnsville Public School District,BURNSVILLE SENIOR HIGH,0191-01-014,2009,549,490,345,,87,16%,25%,
Burnsville Public School District,BURNSVILLE SENIOR HIGH,0191-01-014,2010,588,522,357,,88,15%,25%,
Burnsville Public School District,BURNSVILLE SENIOR HIGH,0191-01-014,2011,578,503,358,,93,16%,26%,
Burnsville Public School District,BURNSVILLE SENIOR HIGH,0191-01-014,2012,567,489,336,,65,11%,19%,
Burnsville Public School District,BURNSVILLE SR HIGH EXTENDED DAY/YR,0191-01-500,2006,48,21,21,,fewer than 10,,,
Burnsville Public School District,BURNSVILLE SR HIGH EXTENDED DAY/YR,0191-01-500,2007,57,16,16,,fewer than 10,,,
Burnsville Public School District,BURNSVILLE SR HIGH EXTENDED DAY/YR,0191-01-500,2008,55,29,29,,11,20%,38%,
Burnsville Public School District,BURNSVILLE SR HIGH EXTENDED DAY/YR,0191-01-500,2009,59,26,26,,fewer than 10,,,
Burnsville Public School District,BURNSVILLE SR HIGH EXTENDED DAY/YR,0191-01-500,2010,64,23,23,,fewer than 10,,,
Burnsville Public School District,BURNSVILLE SR HIGH EXTENDED DAY/YR,0191-01-500,2011,52,17,17,,fewer than 10,,,
Burnsville Public School District,BURNSVILLE SR HIGH EXTENDED DAY/YR,0191-01-500,2012,74,17,17,,fewer than 10,,,
Butterfield Public School District,BUTTERFIELD SECONDARY,0836-01-030,2006,17,11,fewer than 10,,fewer than 10,,,
Butterfield Public School District,BUTTERFIELD SECONDARY,0836-01-030,2007,19,14,13,,fewer than 10,,,
Butterfield Public School District,BUTTERFIELD SECONDARY,0836-01-030,2008,17,11,11,,fewer than 10,,,
Butterfield Public School District,BUTTERFIELD SECONDARY,0836-01-030,2009,16,fewer than 10,fewer than 10,,fewer than 10,,,
Butterfield Public School District,BUTTERFIELD SECONDARY,0836-01-030,2010,18,11,10,,fewer than 10,,,
Butterfield Public School District,BUTTERFIELD SECONDARY,0836-01-030,2011,20,12,fewer than 10,,fewer than 10,,,
Butterfield Public School District,BUTTERFIELD SECONDARY,0836-01-030,2012,16,13,fewer than 10,,fewer than 10,,,
Byron Public School District,BYRON SENIOR HIGH SCHOOL,0531-01-020,2006,107,88,61,,21,20%,34%,
Byron Public School District,BYRON SENIOR HIGH SCHOOL,0531-01-020,2007,103,84,65,,21,20%,32%,
Byron Public School District,BYRON SENIOR HIGH SCHOOL,0531-01-020,2008,112,99,76,,19,17%,25%,
Byron Public School District,BYRON SENIOR HIGH SCHOOL,0531-01-020,2009,103,89,60,,20,19%,33%,
Byron Public School District,BYRON SENIOR HIGH SCHOOL,0531-01-020,2010,104,91,66,,19,18%,29%,
Byron Public School District,BYRON SENIOR HIGH SCHOOL,0531-01-020,2011,126,111,69,,14,11%,20%,
Byron Public School District,BYRON SENIOR HIGH SCHOOL,0531-01-020,2012,118,104,65,,22,19%,34%,
Caledonia Public School District,CALEDONIA SENIOR HIGH,0299-01-032,2006,97,78,44,,fewer than 10,,,
Caledonia Public School District,CALEDONIA SENIOR HIGH,0299-01-032,2007,103,80,39,,15,15%,38%,
Caledonia Public School District,CALEDONIA SENIOR HIGH,0299-01-032,2008,88,68,36,,11,13%,31%,
Caledonia Public School District,CALEDONIA SENIOR HIGH,0299-01-032,2009,89,68,28,,fewer than 10,,,
Caledonia Public School District,CALEDONIA SENIOR HIGH,0299-01-032,2010,76,65,33,,10,13%,30%,
Caledonia Public School District,CALEDONIA SENIOR HIGH,0299-01-032,2011,93,78,34,,fewer than 10,,,
Caledonia Public School District,CALEDONIA SENIOR HIGH,0299-01-032,2012,71,57,25,,fewer than 10,,,
Cambridge-Isanti Public School Dist,CAMBRIDGE-ISANTI HIGH SCHOOL,0911-01-350,2006,339,184,142,,45,13%,32%,
Cambridge-Isanti Public School Dist,CAMBRIDGE-ISANTI HIGH SCHOOL,0911-01-350,2007,305,211,179,,53,17%,30%,
Cambridge-Isanti Public School Dist,CAMBRIDGE-ISANTI HIGH SCHOOL,0911-01-350,2008,330,243,186,,56,17%,30%,
Cambridge-Isanti Public School Dist,CAMBRIDGE-ISANTI HIGH SCHOOL,0911-01-350,2009,323,253,206,,66,20%,32%,
Cambridge-Isanti Public School Dist,CAMBRIDGE-ISANTI HIGH SCHOOL,0911-01-350,2010,332,242,189,,56,17%,30%,
Cambridge-Isanti Public School Dist,CAMBRIDGE-ISANTI HIGH SCHOOL,0911-01-350,2011,326,244,185,,52,16%,28%,
Cambridge-Isanti Public School Dist,CAMBRIDGE-ISANTI HIGH SCHOOL,0911-01-350,2012,334,225,188,,29,9%,15%,
Canby Public School District,CANBY SECONDARY,0891-01-010,2006,50,40,23,,fewer than 10,,,
Canby Public School District,CANBY SECONDARY,0891-01-010,2007,56,45,26,,fewer than 10,,,
Canby Public School District,CANBY SECONDARY,0891-01-010,2008,67,57,39,,13,19%,33%,
Canby Public School District,CANBY SECONDARY,0891-01-010,2009,52,46,25,,fewer than 10,,,
Canby Public School District,CANBY SECONDARY,0891-01-010,2010,55,44,22,,fewer than 10,,,
